Date,price,gdpgrowth,cpigrowth,unemp,msci
2014-04-01,23.47752540616461,18106.7367912762,1.953930165,6.2,84.1
2014-05-01,25.381095103846146,18202.0568500189,2.140056372,6.3,81.9
2014-06-01,25.299374888808305,18249.6403996099,2.088576528,6.1,82.5
2014-07-01,25.828451486423944,18362.2303453323,2.01259241,6.2,81.8
2014-08-01,26.256952283356597,18467.6436766242,1.723432183,6.1,82.5
2014-09-01,25.90824781042557,18391.6647648701,1.677134074,5.9,84.6
2014-10-01,27.197032917685497,18495.4906190888,1.682696192,5.7,86.9
2014-11-01,29.156702238821076,18509.3864093921,1.336590709,5.8,88.8
2014-12-01,27.66802704520424,18495.8357855396,0.75500856,5.6,93.6
2015-01-01,29.005547503599796,18650.9841320796,-0.15882669,5.7,98.1
2015-02-01,31.016509253339763,18729.876496534,-0.079117326,5.5,95.4
2015-03-01,30.684902162810097,18619.551138028,-0.100926018,5.4,93.0
2015-04-01,30.42828552069843,18782.6460372828,-0.226850987,5.4,95.9
2015-05-01,30.97898484694253,18750.5789880438,-0.03127274,5.6,90.7
2015-06-01,29.726380379953927,18813.9225469305,0.135880676,5.3,96.1
2015-07-01,28.924339854219124,18820.1436430488,0.177296301,5.2,93.1
2015-08-01,26.96072153719145,18833.1084377915,0.172623691,5.1,91.9
2015-09-01,26.71811240632444,18919.4036606707,-0.10788843,5.0,87.2
2015-10-01,29.52703562289358,18916.4371137535,0.09047221,5.0,90.0
2015-11-01,29.257249479143983,18839.3534829507,0.416655285,5.1,91.3
2015-12-01,26.82447694974406,18921.1152202136,0.632976739,5.0,92.6
2016-01-01,24.82814266598649,18978.5562514991,1.343777577,4.8,92.0
2016-02-01,24.76020765563568,18953.7876884479,0.978632471,4.9,91.7
2016-03-01,27.44068564874876,19073.0686339087,0.776306987,5.0,91.0
2016-04-01,24.88735948663651,19089.4805544327,1.039902482,5.1,89.0
2016-05-01,26.034966263987872,19044.1351068305,0.890333894,4.8,94.7
2016-06-01,25.48067307182971,19054.7532303049,0.857599195,4.9,93.5
2016-07-01,27.891761819543387,19097.3184692429,0.696040355,4.8,90.0
2016-08-01,29.03042183938189,19205.5165293059,0.963185507,4.9,89.8
2016-09-01,30.10500073218251,19290.9877942137,1.416427123,5.0,91.2
2016-10-01,30.40769239046117,19218.3227304978,1.60801934,4.9,87.2
2016-11-01,30.1905564535446,19329.7945359705,1.671097902,4.7,93.8
2016-12-01,31.238147939648847,19364.9406868136,2.066193078,4.7,98.2
2017-01-01,32.71452571038139,19352.9694699707,2.494003716,4.7,98.5
2017-02-01,35.53594915758721,19375.1169443057,2.724323344,4.6,96.3
2017-03-01,37.65480737782755,19466.9847106877,2.365818232,4.4,96.9
2017-04-01,38.663450623908986,19388.8587091533,2.189405962,4.4,97.0
2017-05-01,40.120391692930994,19518.7389792374,1.865460705,4.4,97.1
2017-06-01,39.39555890922432,19613.291864149,1.624988233,4.3,95.0
2017-07-01,40.25430336757097,19595.1871518502,1.718274739,4.3,93.4
2017-08-01,42.59454284544215,19639.0287293088,1.926101739,4.4,96.8
2017-09-01,41.967540179885475,19748.0579994286,2.213502553,4.3,95.1
2017-10-01,45.4140351291879,19760.7649287208,2.015923468,4.2,100.7
2017-11-01,45.32084109603748,19911.9792285397,2.180537394,4.2,98.5
2017-12-01,45.17077657698229,19974.2452846475,2.091918061,4.1,95.9
2018-01-01,45.3008369616504,19997.9171270035,2.042187666,4.0,95.7
2018-02-01,46.470282153047904,20100.1925789498,2.175116608,4.1,99.7
2018-03-01,44.91517317021084,20034.0895054404,2.321361464,4.0,101.4
2018-04-01,45.69615870123162,20081.7176284739,2.406737366,4.0,98.8
2018-05-01,48.837275339577836,20183.9995694866,2.725656624,3.8,98.0
2018-06-01,47.761584120354804,20185.7227449156,2.800613218,4.0,98.2
2018-07-01,48.573599517703855,20255.1018624297,2.889803979,3.8,97.9
2018-08-01,55.6294859981908,20287.7777455238,2.651383302,3.8,96.2
2018-09-01,54.81815796345558,20285.618643635,2.240982774,3.7,100.1
2018-10-01,52.359055194401996,20286.7334166955,2.486090696,3.8,98.6
2018-11-01,45.37420353277397,20304.3617401635,2.172538316,3.8,97.5
2018-12-01,40.73406156221676,20323.5364645808,1.949291855,3.9,98.3
2019-01-01,44.15795097576192,20419.9353782251,1.593904246,4.0,91.2
2019-02-01,45.77529481774621,20406.1872640736,1.576422092,3.8,93.8
2019-03-01,48.44958281612259,20419.350863071,1.933696758,3.8,98.4
2019-04-01,50.60461953091117,20492.940814748,2.099331242,3.7,97.2
2019-05-01,45.21625045240777,20576.1632955465,1.916334882,3.6,100.0
2019-06-01,50.272115574568936,20684.5261038238,1.764365256,3.6,98.2
2019-07-01,53.04406380801141,20773.8782446649,1.917843209,3.7,98.4
2019-08-01,52.13249853195645,20818.086889182,1.837842049,3.6,89.8
2019-09-01,55.33909302769668,20860.821790684,1.781486396,3.5,93.2
2019-10-01,59.94837022967048,20853.7176518448,1.835371934,3.6,95.5
2019-11-01,63.4382405619832,21000.1520648991,2.089841703,3.6,96.8
2019-12-01,68.90678995991281,20999.5922565346,2.277591674,3.6,99.3
2020-01-01,72.61504653625992,20960.1992188585,2.491632847,3.6,99.8
2020-02-01,65.12869500077767,21057.4171235922,2.340293088,3.5,101.0
2020-03-01,59.09463789230201,19979.9439282387,1.530779834,4.4,89.1
2020-04-01,66.91774447363984,18153.2058843827,0.285957806,14.8,71.8
2020-05-01,71.25335967042756,18961.9949703814,0.051280577,13.2,72.3
2020-06-01,79.49216472218458,19991.6033420903,0.581270976,11.0,78.1
2020-07-01,91.28929786338473,20314.5558511479,0.933335907,10.2,72.5
2020-08-01,106.76299452741942,20493.6600106163,1.264506561,8.4,74.1
2020-09-01,98.41276886750958,20730.5988189054,1.332003773,7.8,80.4
2020-10-01,93.8796994953928,20812.8398904224,1.130981549,6.8,81.8
2020-11-01,104.05110102803086,20626.0476773125,1.122155055,6.7,76.9
2020-12-01,116.95183986230454,20737.2007743869,1.323012104,6.7,80.7
2021-01-01,117.09894672775997,21020.8539944876,1.365914885,6.4,79.0
2021-02-01,109.95362661852954,20758.5000644019,1.630143953,6.2,76.8
2021-03-01,110.64601444313986,21196.371793811,2.554887119,6.1,84.9
2021-04-01,117.54022899409573,21270.7340431495,4.091168679,6.1,88.3
2021-05-01,113.28330069828768,21306.1058374153,4.926312222,5.8,82.9
