"...1","Monthly Nominal GDP Index","Monthly Real GDP Index"
"1995 - Aug",7674.16252099339,11441.7026469304
"1995 - Sep",7744.77221417417,11529.9017741474
"1995 - Oct",7747.16201246272,11480.5883688398
"1995 - Nov",7747.77107647325,11499.1425465911
"1995 - Dec",7822.82491106248,11605.5809879195
"1996 - Jan",7839.92168565836,11583.8180218251
"1996 - Feb",7853.00174860039,11600.0971189639
"1996 - Mar",7912.48056574146,11661.253197169
"1996 - Apr",8025.22751437675,11818.6381897252
"1996 - May",8009.306715904,11777.1403575444
"1996 - Jun",8063.98576971493,11830.5741229545
"1996 - Jul",8099.35473998012,11876.2717556964
"1996 - Aug",8123.03226879314,11909.6142734083
"1996 - Sep",8171.83699122684,11957.7498173319
"1996 - Oct",8250.70692235495,12038.9865813615
"1996 - Nov",8281.81499095531,12061.7143712342
"1996 - Dec",8246.79108669627,12013.9854849467
"1997 - Jan",8308.85734051777,12085.3065166211
"1997 - Feb",8385.59994785792,12170.6677784086
"1997 - Mar",8393.50771163205,12091.7530974155
"1997 - Apr",8511.39011839671,12359.8328841094
"1997 - May",8476.49221828396,12240.8476337205
"1997 - Jun",8568.5926633247,12352.2713869742
"1997 - Jul",8620.37290705089,12449.7109815894
"1997 - Aug",8655.67215768616,12482.0477236635
"1997 - Sep",8712.42393526629,12482.5833692476
"1997 - Oct",8748.26947516465,12563.1033648563
"1997 - Nov",8736.37112238024,12535.8582632712
"1997 - Dec",8813.08040245078,12634.7888435537
"1998 - Jan",8772.70066064504,12571.1698478765
"1998 - Feb",8894.5479953222,12753.7285154343
"1998 - Mar",8932.19134402854,12787.5010898471
"1998 - Apr",8925.51241842605,12761.6166753931
"1998 - May",8953.12964216673,12795.0172103761
"1998 - Jun",9030.45493941254,12908.3198892997
"1998 - Jul",9049.68640177614,12879.5469893833
"1998 - Aug",9100.7813740637,12947.9076522097
"1998 - Sep",9212.82322416207,13121.4976439327
"1998 - Oct",9266.79613536871,13165.893324917
"1998 - Nov",9307.05631779075,13218.8144855302
"1998 - Dec",9308.12054683606,13190.9683180831
"1999 - Jan",9357.77290456318,13223.7095286934
"1999 - Feb",9410.99243734792,13327.5682384909
"1999 - Mar",9466.28065808863,13396.2061494214
"1999 - Apr",9496.0320991533,13396.3877936022
"1999 - May",9536.80585737648,13442.8601757014
"1999 - Jun",9545.79204346892,13441.7737389183
"1999 - Jul",9659.13652491631,13562.4194968704
"1999 - Aug",9660.68671041162,13601.7758979094
"1999 - Sep",9740.05476467466,13650.8365669588
"1999 - Oct",9819.70013500201,13720.4991245725
"1999 - Nov",9890.74021209183,13811.9632237758
"1999 - Dec",9990.06665291766,13951.8667114936
"2000 - Jan",9924.23424004956,13812.3496797618
"2000 - Feb",9995.33515056558,13871.5287950194
"2000 - Mar",10086.9676093935,13951.0778788778
"2000 - Apr",10224.8534836945,14133.2291185386
"2000 - May",10232.0347211885,14113.4489656401
"2000 - Jun",10286.2717951114,14146.4370723609
"2000 - Jul",10234.187363888,14056.6875947136
"2000 - Aug",10336.0638329339,14171.4648942741
"2000 - Sep",10384.2438031745,14208.0581414056
"2000 - Oct",10435.2257817632,14247.1569131245
"2000 - Nov",10445.4591628161,14232.5477666501
"2000 - Dec",10426.5470554259,14210.5572976555
"2001 - Jan",10467.681398149,14214.503728039
"2001 - Feb",10463.0191812422,14185.270322729
"2001 - Mar",10479.9924205925,14151.055045561
"2001 - Apr",10565.3385394513,14259.7610024788
"2001 - May",10640.0056373416,14328.0301798877
"2001 - Jun",10591.6558232165,14228.8809642747
"2001 - Jul",10585.1733890188,14183.2658034653
"2001 - Aug",10699.2156008629,14347.2637627599
"2001 - Sep",10509.671010133,14114.4906476429
"2001 - Oct",10639.7730258283,14235.1567367144
"2001 - Nov",10587.6497865452,14159.3618142327
"2001 - Dec",10753.9721876145,14368.0067632075
"2002 - Jan",10786.9000873893,14408.6714080058
"2002 - Feb",10748.9017442729,14322.7239034496
"2002 - Mar",10814.6981683351,14388.8308650762
"2002 - Apr",10858.4271893764,14444.8879492393
"2002 - May",10870.0476011672,14442.5052375897
"2002 - Jun",10933.9052094588,14496.9943213703
"2002 - Jul",11001.8356847755,14575.2502153005
"2002 - Aug",10952.3271109848,14491.464012526
"2002 - Sep",10997.9572042426,14493.7849931696
"2002 - Oct",10999.0825486192,14481.1139632251
"2002 - Nov",11053.2354956373,14523.6565901
"2002 - Dec",11131.9809557342,14609.3310080757
"2003 - Jan",11135.8470805099,14595.8898093841
"2003 - Feb",11210.3506389361,14652.415781028
"2003 - Mar",11176.1892805547,14595.6928167627
"2003 - Apr",11256.972177737,14673.5221773056
"2003 - May",11275.2117489851,14690.1064225188
"2003 - Jun",11406.114073253,14869.0263259674
"2003 - Jul",11468.5990975552,14910.2466019036
"2003 - Aug",11567.4926751528,14985.307348184
"2003 - Sep",11663.9152272012,15072.8202942987
"2003 - Oct",11699.7675935743,15093.0373327824
"2003 - Nov",11786.1191898009,15181.9524739622
"2003 - Dec",11830.8152166723,15215.2613242992
"2004 - Jan",11805.9316852697,15134.3772204347
"2004 - Feb",11926.5155529291,15258.4886462994
"2004 - Mar",12037.8937618045,15355.153776704
"2004 - Apr",12036.1340389221,15311.3799842606
"2004 - May",12175.7348715529,15446.443021005
"2004 - Jun",12126.5760895183,15344.7890860305
"2004 - Jul",12279.3831968458,15482.6524329174
"2004 - Aug",12300.5249509043,15520.9960946254
"2004 - Sep",12336.0128523117,15536.3048786943
"2004 - Oct",12471.3933950145,15653.4373995269
"2004 - Nov",12514.8406743438,15649.5710893138
"2004 - Dec",12595.4079306084,15711.7324010845
"2005 - Jan",12747.9409735118,15854.7160547485
"2005 - Feb",12751.1151965443,15826.0930489944
"2005 - Mar",12802.8018299633,15855.516318681
"2005 - Apr",12859.3060715339,15896.7020862886
"2005 - May",12881.8975124297,15863.3414689652
"2005 - Jun",13026.7644159638,16010.3533716363
"2005 - Jul",13096.0533011177,16037.2202230952
"2005 - Aug",13153.2365256462,16078.1062682977
"2005 - Sep",13178.636173175,16029.5293739123
"2005 - Oct",13235.1217498305,16064.1774207328
"2005 - Nov",13300.2795077608,16112.8992417913
"2005 - Dec",13437.2107424193,16235.1806236916
"2006 - Jan",13517.4448980578,16315.4771591817
"2006 - Feb",13569.2656447248,16307.7288134193
"2006 - Mar",13710.7694572001,16440.3050610637
"2006 - Apr",13694.9539464298,16369.9772273439
"2006 - May",13782.6260474308,16416.9439851426
"2006 - Jun",13782.6920060661,16403.6537167337
"2006 - Jul",13791.164714965,16365.7871418079
"2006 - Aug",13885.3003611847,16421.576542072
"2006 - Sep",13934.0989237855,16477.0825580991
"2006 - Oct",13967.0392623485,16489.3793940604
"2006 - Nov",14059.5519231759,16600.8646039778
"2006 - Dec",14092.0888144333,16597.6079586046
"2007 - Jan",14134.074402093,16578.4962863657
"2007 - Feb",14286.5188261253,16680.7820388347
"2007 - Mar",14226.3597717676,16577.922654855
"2007 - Apr",14362.6295787207,16711.3347250344
"2007 - May",14401.0115396462,16701.7524265312
"2007 - Jun",14442.6048816176,16728.7684935019
"2007 - Jul",14422.4505028312,16669.3825533805
"2007 - Aug",14601.5588181342,16867.8164254156
"2007 - Sep",14668.3416790867,16893.4006743952
"2007 - Oct",14663.9604371227,16878.2644384621
"2007 - Nov",14715.6240582989,16898.6350571622
"2007 - Dec",14765.5895046273,16970.4612302659
"2008 - Jan",14801.295604079,16990.5204117039
"2008 - Feb",14627.5280624162,16753.9428854281
"2008 - Mar",14690.7903334595,16786.5526366439
"2008 - Apr",14757.3951590818,16846.2077419578
"2008 - May",14802.3655551806,16891.1196978008
"2008 - Jun",15037.3422856818,17094.0442527156
"2008 - Jul",14972.3491788246,16971.8180896399
"2008 - Aug",14917.1780769195,16891.6344002485
"2008 - Sep",14807.4697442465,16701.0603399458
"2008 - Oct",14694.5394844863,16566.7736663272
"2008 - Nov",14700.0880492766,16587.1076469057
"2008 - Dec",14429.9994662316,16303.4057119215
"2009 - Jan",14481.0697131371,16350.254793498
"2009 - Feb",14442.8524843951,16290.0075980174
"2009 - Mar",14368.7838025337,16255.4118267346
"2009 - Apr",14360.3002441769,16253.9824950997
"2009 - May",14377.7536528074,16278.6239107356
"2009 - Jun",14405.6541031152,16275.5568784603
"2009 - Jul",14376.2518955003,16261.7350486455
"2009 - Aug",14480.508233012,16349.1008799551
"2009 - Sep",14489.8858714619,16368.856936574
"2009 - Oct",14693.458482763,16570.2694593045
"2009 - Nov",14665.2572928283,16512.6219436014
"2009 - Dec",14595.0312244292,16426.2188567134
"2010 - Jan",14707.2670473254,16526.0795094348
"2010 - Feb",14735.2343340438,16560.9676539064
"2010 - Mar",14851.3286187052,16661.6401148527
"2010 - Apr",14946.066959456,16725.2753899159
"2010 - May",14956.5023160585,16714.2970250466
"2010 - Jun",15038.0097244713,16790.6835538475
"2010 - Jul",15111.7907093887,16866.2784513241
"2010 - Aug",15108.6745140709,16835.217865317
"2010 - Sep",15204.3557765303,16915.9748016646
"2010 - Oct",15287.4458947099,16965.4529239786
"2010 - Nov",15264.3374428254,16904.0025386319
"2010 - Dec",15376.6386624854,17013.8345825937
"2011 - Jan",15257.7290828692,16865.3611963572
"2011 - Feb",15282.8962193747,16841.0675578869
"2011 - Mar",15513.7186977412,17056.0680529171
"2011 - Apr",15584.4485226353,17097.4674813928
"2011 - May",15567.1363497901,17037.9188545678
"2011 - Jun",15521.0321275992,16970.7057786389
"2011 - Jul",15615.9323272207,17025.5960647147
"2011 - Aug",15716.1473701176,17097.189960882
"2011 - Sep",15610.9603026691,16971.9106883375
"2011 - Oct",15858.1348708658,17256.8858427126
"2011 - Nov",15837.8450936348,17204.0926161877
"2011 - Dec",15830.7970354638,17207.5784554557
"2012 - Jan",15937.3689127467,17267.0415638285
"2012 - Feb",16211.1556445765,17510.2711572025
"2012 - Mar",16057.8904427228,17324.2875822472
"2012 - Apr",16179.9449544264,17412.9418265252
"2012 - May",16224.1957228508,17475.9668982175
"2012 - Jun",16217.2043226735,17445.2960794983
"2012 - Jul",16319.4114328828,17518.0663525393
"2012 - Aug",16274.3317019611,17414.9882562677
"2012 - Sep",16364.8798651524,17476.6190019505
"2012 - Oct",16336.6866647174,17407.0565179105
"2012 - Nov",16405.8692936807,17485.925110589
"2012 - Dec",16518.7010416348,17577.3505567119
"2013 - Jan",16678.1830055133,17719.6316530793
"2013 - Feb",16603.3063377172,17601.6890493401
"2013 - Mar",16663.0776567383,17666.6075612191
"2013 - Apr",16681.4569737983,17697.9984377006
"2013 - May",16667.567146593,17652.7405069753
"2013 - Jun",16837.0368796369,17778.9977689918
"2013 - Jul",16880.755287833,17802.7407605539
"2013 - Aug",16985.8037075976,17894.0177367022
"2013 - Sep",16994.9550046044,17885.3189635365
"2013 - Oct",17116.0150201608,17983.9432495263
"2013 - Nov",17221.9151585952,18055.0330184048
"2013 - Dec",17238.1268213022,18010.1540177858
"2014 - Jan",17136.4576862975,17898.4653766963
"2014 - Feb",17215.4070603078,17986.814213364
"2014 - Mar",17241.349253401,17977.3504830887
"2014 - Apr",17401.8061702469,18106.7367912762
"2014 - May",17544.726172146,18202.0568500189
"2014 - Jun",17608.9916576304,18249.6403996099
"2014 - Jul",17747.8872386841,18362.2303453323
"2014 - Aug",17861.8679451475,18467.6436766242
"2014 - Sep",17802.9288161298,18391.6647648701
"2014 - Oct",17906.5371640048,18495.4906190888
"2014 - Nov",17926.0630153338,18509.3864093921
"2014 - Dec",17903.636820616,18495.8357855396
"2015 - Jan",18001.451849255,18650.9841320796
"2015 - Feb",18122.8997451401,18729.876496534
"2015 - Mar",18066.2354055264,18619.551138028
"2015 - Apr",18241.1604132266,18782.6460372828
"2015 - May",18258.2494257841,18750.5789880438
"2015 - Jun",18339.9421610317,18813.9225469305
"2015 - Jul",18367.7436219672,18820.1436430488
"2015 - Aug",18381.3298060614,18833.1084377915
"2015 - Sep",18455.8045719712,18919.4036606707
"2015 - Oct",18468.4420959615,18916.4371137535
"2015 - Nov",18389.4722680324,18839.3534829507
"2015 - Dec",18447.496636046,18921.1152202136
"2016 - Jan",18492.7367464104,18978.5562514991
"2016 - Feb",18464.6321553256,18953.7876884479
"2016 - Mar",18620.4300982906,19073.0686339087
"2016 - Apr",18702.0367741243,19089.4805544327
"2016 - May",18689.4466935668,19044.1351068305
"2016 - Jun",18743.6225322417,19054.7532303049
"2016 - Jul",18777.0180525545,19097.3184692429
"2016 - Aug",18891.0916193594,19205.5165293059
"2016 - Sep",19009.8073280652,19290.9877942137
"2016 - Oct",18982.6881676409,19218.3227304978
"2016 - Nov",19103.4334624746,19329.7945359705
"2016 - Dec",19182.0153698279,19364.9406868136
"2017 - Jan",19225.3670500124,19352.9694699707
"2017 - Feb",19262.0201141694,19375.1169443057
"2017 - Mar",19352.8648358066,19466.9847106877
"2017 - Apr",19315.5908785111,19388.8587091533
"2017 - May",19442.9260973236,19518.7389792374
"2017 - Jun",19557.4120242271,19613.291864149
"2017 - Jul",19574.7421647885,19595.1871518502
"2017 - Aug",19666.7432990577,19639.0287293088
"2017 - Sep",19836.2995361304,19748.0579994286
"2017 - Oct",19882.7155361868,19760.7649287208
"2017 - Nov",20067.5105386123,19911.9792285397
"2017 - Dec",20161.0379252625,19974.2452846475
"2018 - Jan",20247.6874761413,19997.9171270035
"2018 - Feb",20388.1064024742,20100.1925789498
"2018 - Mar",20349.8651213109,20034.0895054404
"2018 - Apr",20465.2686867218,20081.7176284739
"2018 - May",20621.9867235742,20183.9995694866
"2018 - Jun",20655.4805897086,20185.7227449156
"2018 - Jul",20748.3588094147,20255.1018624297
"2018 - Aug",20806.9022751643,20287.7777455238
"2018 - Sep",20840.9289153549,20285.618643635
"2018 - Oct",20892.573280302,20286.7334166955
"2018 - Nov",20914.0526510778,20304.3617401635
"2018 - Dec",20946.9750686193,20323.5364645808
"2019 - Jan",21081.9022072362,20419.9353782251
"2019 - Feb",21094.7925843,20406.1872640736
"2019 - Mar",21135.7042085056,20419.350863071
"2019 - Apr",21280.0999336268,20492.940814748
"2019 - May",21374.0116499946,20576.1632955465
"2019 - Jun",21500.2134163979,20684.5261038238
"2019 - Jul",21641.1417047045,20773.8782446649
"2019 - Aug",21691.8981771053,20818.086889182
"2019 - Sep",21749.8061181836,20860.821790684
"2019 - Oct",21774.6518079233,20853.7176518448
"2019 - Nov",21940.5769304007,21000.1520648991
"2019 - Dec",21991.9412617245,20999.5922565346
"2020 - Jan",22015.2322282052,20960.1992188585
"2020 - Feb",22119.3556398066,21057.4171235922
"2020 - Mar",20984.9511320006,19979.9439282387
"2020 - Apr",18943.0938540641,18153.2058843827
"2020 - May",19820.1811113203,18961.9949703814
"2020 - Jun",20976.1540345322,19991.6033420903
"2020 - Jul",21402.5333840791,20314.5558511479
"2020 - Aug",21627.9125029933,20493.6600106163
"2020 - Sep",21912.4741129353,20730.5988189054
"2020 - Oct",22045.6440017804,20812.8398904224
"2020 - Nov",21899.6840790706,20626.0476773125
"2020 - Dec",22128.1779191305,20737.2007743869
"2021 - Jan",22534.1742065646,21020.8539944876
"2021 - Feb",22340.4070864746,20758.5000644019
"2021 - Mar",22925.9737069945,21196.371793811
"2021 - Apr",23119.5897606027,21270.7340431495
"2021 - May",23291.1389080556,21306.1058374153
"2021 - June",23466.3573312543,21355.7872903931
"2021 - July",23662.6535222101,21432.140376052
"2021 - Aug",23817.2151366813,21467.6915212884
"2021 - Sep",24007.0503410719,21553.3454666906
"2021 - Oct",24451.9679560734,21777.9722084024
"2021 - Nov",24582.2993829164,21783.7611655945
"2021 - Dec",24929.5416609803,21985.1682474198
"2022 - Jan",24862.7597213769,21762.2895337971
"2022 - Feb",25012.4126766475,21745.844740152
"2022 - Mar",25212.1756019864,21712.4857783989
"2022 - Apr",25290.725487025,21676.5794341927
"2022 - May",25554.3036007703,21721.5720403315
"2022 - Jun",25787.789912178,21730.4436347257
"2022 - Jul",25754.472439876,21707.6683976963
"2022 - Aug",26128.7358216574,21980.0029561237
"2022 - Sep",26100.7087384508,21869.8820521419
"2022 - Oct",26287.8590463099,21905.7758698445
"2022 - Nov",26463.2576133393,22011.6253650731
"2022 - Dec",26474.0983403034,22056.6539705055
"2023 - Jan",26735.7940779794,22125.3658244867
"2023 - Feb",26832.6952539618,22111.8923512057
"2023 - Mar",26872.3136680322,22103.9627374431
"2023 - Apr",26923.6608310709,22109.4849587677
"2023 - May",27074.686569036,22255.2008285059
"2023 - June",27190.688599855,22316.0507287223
"2023 - July",27384.2657591138,22412.8679124598
"2023 - Aug",27621.4407206222,22499.0486988363
"2023 - Sep",27824.6775202836,22564.7796708768
"2023 - Oct",27732.564637556,22494.5145824205
"2023 - Nov",27948.8277500095,22683.4285130225
"2023 - Dec",28189.2404039483,22863.3815097383
"2024 - Jan",28107.3112426234,22723.1259243387
